rtosTick,pitch,roll,yaw,ax,ay,az,gx,gy,gz,mx,my,mz,m1CMD,m2CMD,m3CMD,m4CMD,asp,asr,asy,rsp,rsr,rsy
4132,-4.954510688781738,10.87887191772461,252.20040893554688,-0.7506903409957886,3.672362327575684,15.996490478515625,14.309992790222168,-22.02181625366211,-68.46504211425781,-0.05770999938249587,-0.03683000057935715,-0.019430000334978104,1160,1160,1160,1160,0,0,0,0,0,0
4134,-5.378925323486328,10.693873405456543,253.81393432617188,-0.747147262096405,3.672269344329834,16.006046295166016,14.375741004943848,-22.023508071899414,-68.44574737548828,-0.05770999938249587,-0.03683000057935715,-0.019430000334978104,1160,1160,1160,1160,0,0,0,0,0,0
4136,-5.757763385772705,10.515389442443848,255.41477966308597,-0.7437015771865845,3.6725566387176514,16.010190963745114,14.423879623413086,-22.01914405822754,-68.41949462890625,-0.05770999938249587,-0.03683000057935715,-0.019430000334978104,1160,1160,1160,1160,0,0,0,0,0,0
4138,-5.873950004577638,10.466525077819824,256.98611450195307,-0.735404372215271,3.669490575790405,16.024179458618164,14.400196075439453,-22.02088165283203,-68.38346099853516,-0.07801000028848648,-0.05539000034332275,-0.015079999342560768,1160,1160,1160,1160,0,0,0,0,0,0
4140,-5.968932628631593,10.417024612426758,258.53884887695307,-0.7269400358200073,3.6694085597991934,16.021297454833984,14.378490447998047,-22.01776695251465,-68.38064575195311,-0.07801000028848648,-0.05539000034332275,-0.015079999342560768,1160,1160,1160,1160,0,0,0,0,0,0
4142,-6.041327953338622,10.36737060546875,260.0728759765625,-0.7284042239189148,3.6693274974823,16.022844314575195,14.389690399169922,-21.989370346069336,-68.40151214599611,-0.07801000028848648,-0.05539000034332275,-0.015079999342560768,1160,1160,1160,1160,0,0,0,0,0,0
4144,-6.091507911682129,10.31791877746582,261.5878295898437,-0.7327960133552551,3.667252540588379,16.020851135253903,14.427209854125975,-21.954221725463867,-68.40423583984375,-0.07801000028848648,-0.05539000034332275,-0.015079999342560768,1160,1160,1160,1160,0,0,0,0,0,0
4146,-6.120791912078857,10.270352363586426,263.08306884765625,-0.7370008826255798,3.6694333553314213,16.01502799987793,14.41673183441162,-21.981210708618164,-68.39361572265625,-0.07801000028848648,-0.05539000034332275,-0.015079999342560768,1160,1160,1160,1160,0,0,0,0,0,0
4148,-6.12951135635376,10.223957061767578,264.55831909179693,-0.7440577149391174,3.6683812141418457,16.015625,14.399100303649902,-21.908811569213867,-68.41864776611328,-0.07801000028848648,-0.05539000034332275,-0.015079999342560768,1160,1160,1160,1160,0,0,0,0,0,0
4150,-6.1183104515075675,10.179961204528807,266.01309204101557,-0.7536242604255676,3.6711835861206055,16.021818161010742,14.458545684814453,-21.829212188720703,-68.46234130859375,-0.07801000028848648,-0.05539000034332275,-0.015079999342560768,1160,1160,1160,1160,0,0,0,0,0,0
