rtosTick,pitch,roll,yaw,ax,ay,az,gx,gy,gz,mx,my,mz,m1CMD,m2CMD,m3CMD,m4CMD,asp,asr,asy,rsp,rsr,rsy
4276,0.00019015,9.8543,302.03,-0.74695,3.6919,16.008,0.072591,-0.11063,-0.34197,-0.05539,-0.00377,-0.01943,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4278,-0.13843,9.5434,303.55,-0.74879,3.6862,16,0.072514,-0.11079,-0.34187,-0.05539,-0.00377,-0.01943,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4280,-0.25412,9.2628,305.04,-0.74972,3.6846,15.998,0.072417,-0.11097,-0.34174,-0.05539,-0.00377,-0.01943,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4282,-0.23107,9.3604,305.95,-0.74297,3.6838,15.987,0.071864,-0.11127,-0.34167,-0.08613,-0.0406,-0.01624,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4284,-0.20397,9.4541,306.83,-0.7403,3.6796,15.985,0.071847,-0.11108,-0.34177,-0.08613,-0.0406,-0.01624,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4286,-0.172,9.5443,307.68,-0.74318,3.6778,15.992,0.071911,-0.11099,-0.34181,-0.08613,-0.0406,-0.01624,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4288,-0.13726,9.6325,308.52,-0.73984,3.6798,15.995,0.071856,-0.11104,-0.34175,-0.08613,-0.0406,-0.01624,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4290,-0.099676,9.7194,309.33,-0.73864,3.6857,16.004,0.071485,-0.11116,-0.34186,-0.08613,-0.0406,-0.01624,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4292,-0.060553,9.8047,310.12,-0.73305,3.687,16.001,0.071469,-0.11114,-0.34191,-0.08613,-0.0406,-0.01624,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4294,-0.018801,9.8879,310.9,-0.73257,3.6851,15.998,0.071947,-0.11098,-0.34189,-0.08613,-0.0406,-0.01624,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4296,0.026164,9.9703,311.65,-0.73553,3.6863,15.986,0.072112,-0.11088,-0.34187,-0.08613,-0.0406,-0.01624,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4298,0.85335,9.9849,310.53,-0.7328,3.6866,15.982,0.072348,-0.11053,-0.34195,0.0319,-0.01943,-0.01421,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4300,1.6758,9.99,309.4,-0.73911,3.6889,15.997,0.072586,-0.11027,-0.342,0.0319,-0.01943,-0.01421,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4302,2.4914,9.9851,308.25,-0.73998,3.6933,15.998,0.072893,-0.11006,-0.34205,0.0319,-0.01943,-0.01421,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4304,3.2981,9.969,307.07,-0.73778,3.6909,16.002,0.072899,-0.1099,-0.34214,0.0319,-0.01943,-0.01421,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4306,4.0945,9.9426,305.87,-0.73341,3.69,15.995,0.072941,-0.10963,-0.34218,0.0319,-0.01943,-0.01421,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4308,4.8792,9.9056,304.65,-0.73542,3.691,16,0.072849,-0.10972,-0.34224,0.0319,-0.01943,-0.01421,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4310,5.6489,9.8591,303.4,-0.73118,3.6939,16.002,0.073114,-0.10986,-0.3421,0.0319,-0.01943,-0.01421,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4312,6.4019,9.802,302.13,-0.72942,3.69,16.002,0.07324,-0.10974,-0.34209,0.0319,-0.01943,-0.01421,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4314,5.9888,9.9863,302.71,-0.72825,3.6884,16.004,0.073282,-0.10966,-0.34211,-0.06061,-0.05452,-0.01189,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4316,5.6044,10.155,303.27,-0.72473,3.6861,15.999,0.073471,-0.1094,-0.34218,-0.06061,-0.05452,-0.01189,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4318,5.2477,10.311,303.8,-0.72131,3.683,16.011,0.073487,-0.10932,-0.34228,-0.06061,-0.05452,-0.01189,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4320,4.9167,10.454,304.32,-0.71587,3.6825,16.016,0.073362,-0.10934,-0.34237,-0.06061,-0.05452,-0.01189,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4322,4.6123,10.587,304.81,-0.71856,3.6845,16.028,0.073379,-0.10951,-0.34241,-0.06061,-0.05452,-0.01189,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4324,4.3316,10.71,305.29,-0.7161,3.682,16.026,0.073219,-0.10965,-0.34244,-0.06061,-0.05452,-0.01189,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4326,4.0745,10.825,305.75,-0.71833,3.6843,16.025,0.072916,-0.10974,-0.34252,-0.06061,-0.05452,-0.01189,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4328,3.8393,10.934,306.19,-0.72023,3.6902,16.026,0.072699,-0.10981,-0.34258,-0.06061,-0.05452,-0.01189,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4330,3.6625,10.995,307.27,-0.71376,3.6896,16.021,0.072812,-0.10978,-0.34257,-0.10324,-0.03248,-0.01102,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4332,3.4994,11.052,308.32,-0.72034,3.6885,16.033,0.072583,-0.1099,-0.34262,-0.10324,-0.03248,-0.01102,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4334,3.3492,11.104,309.36,-0.72575,3.6887,16.027,0.072049,-0.11022,-0.34258,-0.10324,-0.03248,-0.01102,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4336,3.2102,11.152,310.36,-0.72652,3.6867,16.028,0.071601,-0.11038,-0.34257,-0.10324,-0.03248,-0.01102,1.25,1.25,1.25,1.25,0,0,0,0,0,0
